Name (international):,Name (local):,Type of institution:,Address:,City:,Phone:,Fax:,Email:,N/A
Allegheny College,Allegheny College,College,520 N Main Street,Meadville,+1 (814) 332 3100,+1 (814) 724 6032,hr@allegheny.edu,hr@allegheny.edu
Allentown College of St. Francis de Sales,,College,2755 Station Avenue,Center Valley,(610) 282-1100,,,N/A
Altoona Beauty School Inc,Altoona Beauty School Inc,College,1528 Valley View Blvd.,Altoona,+1 (814) 942-3141,+1 (814) 943-5188,Teresa_abs@verizon.net,N/A
Alvernia University,,University,400 St Bernardine Street,Reading,"+1 (610) 796 8200, +1 6107968269",+1 6107902873,admissions@alvernia.edu,N/A
American College,American College,College,270 Bryn Mawr Avenue,Bryn Mawr,+1 (610) 526 1000,+1 (610) 526 1310,Patterson@TheAmericanCollege.edu,N/A
American College of Physcians,American College of Physcians,College,190 North Independence,Mall West,+1 (215) 3512400,,,N/A
American Public University,American Public University,University,111 W. Congress Street,Charles Town,,+1 304-724-0920,info@apus.edu,dsa@apus.edu
"Annenberg School for Communication, University of Pennsylvania","Annenberg School for Communication, University of Pennsylvania",College,,,,,,N/A
Arcadia University (formerly Beaver College),Arcadia University (formerly Beaver College),College,"Arcadia University, 450 South Easton Road",Glenside,+1 215-572-2900,215-572-4488,admiss@arcadia.edu,N/A
Brown University,Brown University,University,45 Prospect Street Box 1876,Providence,"+1 (401)8631000, (401) 863-2378","+1 (401)8633700, (401) 863-9300",admission_undergraduate@brown.edu,admission_undergraduate@brown.edu
"Brown University, School of Engineering","Brown University, School of Engineering",College,,,,,,N/A
Bryant University,Bryant University,University,1150 Douglas Pike,Smithfield,+1 (401) 232 6000,+1 (401) 232 6319,www@bryant.edu,N/A
Community College of Rhode Island,Community College of Rhode Island,College,400 East Avenue,Warwick,(401) 825-1000,,bwiley@ccri.edu,N/A
"International Yacht Restoration School, Inc, Newport, RI","International Yacht Restoration School, Newport, RI",College,"449 Thames Street, Suite 111","Newport, RI",+1 (401) 848-5777,+1 (401) 842-0669,info@iyrs.org,N/A
"Johnson and Wales University, Denver","Johnson and Wales University, Denver",University,8 Abbott Park Place,Providence,+1 (401) 598-1000,303-256-9699,,N/A
"Johnson and Wales University, Providence","Johnson and Wales University, Providence Campus, RI",University,8 Abbott Park Place,"Providence, RI",+1 401-598-1000,+1 401-598-2208,,N/A
Naval War College,Naval War College,College,,Rhode Island,,,kevin.kelley@nwc.navy.mil,N/A
Oshean,Oshean,College,,,,,,N/A
Providence College,Providence College,College,549 River Avenue,Providence,+1 (401) 865 2535,+1 (401) 865 2826,jbranham@providence.edu,N/A
Aiken Technical College,Aiken Technical College,College,P.O. Drawer 696,Aiken,"+1 803-593-9231, +1-800-246-6198, +1 803-593-1247",,dladministrator@atc.edu,dladministrator@atc.edu
Allen University,Allen University,University,1530 Harden Street,Columbia,+1 (803) 376 5700,+1 (803) 376-5746,admissions@allenuniversity.edu,admissions@allenuniversity.edu
Anderson College,Anderson University,College,316 Boulevard,Anderson,+1 (864) 231 2000,+1 (803) 231 2004,,N/A
Anderson University,Anderson University,University,1100 E 5Th Street,Anderson,+1 (765) 649 9071,+1 (765) 641 3851,info@anderson.edu,N/A
Benedict College,Benedict College,College,1600 Harden Street,Columbia,+1 (803) 256 4220,+1 (803) 253 5065,STEM@benedict.edu,N/A
Bishop England High School,Bishop England High School,College,363 Seven Farm Drive,Charleston,+1 (843) 849 95 99,+1 (843) 849 92 21,rargenio@behs.com,N/A
Bob Jones University,Bob Jones University,University,1700 Wade Hampton Boulavard,Greenville,"+1 (864) 242-5100,+1 (800) 252-6363",,,admission@bju.edu
Briar Cliff College,Briar Cliff University,College,3303 Rebecca Street,Sioux City,+1 (712) 279 5321,+1 (712) 279 5410,joann.peterson@braircliff.edu,N/A
Brown Mackie College - Greenville,Greenville - Brown Mackie College,College,"Two Liberty Square 75 Beattie Place, Suite 100","Greenville, Sourh Carolina",+1 (864) 239-5300,,materialsreview@brownmackie.edu,N/A
Charleston School of Law,Charleston School of Law,College,"P.O. Box 535, 81 Mary Street",Charleston,+1 (843) 329-1000,,info@charlestonlaw.edu,N/A
Black Hills State University,Black Hills State University,University,1200 University Street,Spearfish,+1 (605) 642 6011,+1 (605) 642 6214,riscillaRomkema@bhsu.edu,admissions@bhsu.edu
Dakota State University,Dakota State University,University,820 N. Washington Ave.,Madison,"+1 605-256-5111 , (605) 256-5799, 1-888--9988 (888-378-9988)","605-256-5093, +1 (605) 256 5316",admissions@dsu.edu,admissions@dsu.edu
"Globe University, Sioux Falls","Globe University, Sioux Falls",University,5101 S Broadband Ln,Sioux Falls,"+1 (605) 977-0705,+1 (866) 437-0705",+1 (651) 332-8001,,N/A
Harold D. Buckingham Graduate School,,College,5301 S. Hwy 16 Suite 200,Rapid City,"+1 (877) 398-0118,+1 (605) 721-5200",+1 (605) 721-5241,info@national.edu,graduateadmissions@national.edu
Kilian Community College,Kilian Community College,College,300 East 6th Street,Sioux Falls,+1 (605) 221-3100,+1 (605) 336-2606,info@kilian.edu,N/A
Mount Marty College,Mount Marty College,College,1105 W. 8Th Street,Yankton,+1 800 658 4552,+1 (605) 668 1607,jfoster@mtmc.edu,N/A
"National American University, Sioux Falls",,University,5801 S. Corporate Place,Sioux Falls,+1 (605) 336-4600,,sfadmissions@national.edu,sfadmissions@national.edu
Northern State University,Northern State University,University,1200 S Jay Street,Aberdeen,"+1 605-626-3011, 605-626-7721","+1 (605) 626 3022, 605-626-3355",admissions@northern.edu,admissions@northern.edu
Oglala Lakota College,Oglala Lakota College,College,490 Piya Wiconi Road,Kyle,+1 (605) 455 2321,+1 (605) 455 2787,personnel@olc.edu,N/A
Presentation College,Presentation College,College,1500 N Main St,Aberdeen,605-229-8504,605-229-8518,Susan.Barnes@presentation.edu,N/A
American Baptist College,American Baptist College,College,1800 Baptist World Ctr Drive,Nashville,+1 (615) 256 1463,+1 (615) 226 7855,mlockhart@abcnash.edu,N/A
"Aquinas College, Nashville",Aquinas College,College,4210 Harding Road,Nashville,+1 (615) -297-7545,+1 (615) -279-3893,duncaja@aquinas.edu,N/A
Argosy University - Nashville,Argosy University - Nashville,University,100 Centerview Drive Suite 225,Nashville,,,hoffmanncox@argosy.edu,N/A
Arnolds Beauty School,Arnolds Beauty School,College,1179 South Second St.,"Milan, TN",+1 731-686-7351,,info@arnoldsbeautyschool.com,N/A
Austin Peay State University,Austin Peay State University,University,601 College Street,Clarksville,+1 (931) 221 7011,+1 (931) 221 7475,acadaffairs@apsu.edu,N/A
Baptist Memorial College of Health Sciences,Baptist Memorial College of Health Sciences,College,1003 Monroe,Memphis,+1 866 575-BCHS (2247),,,N/A
Baylor College of Dentistry,Baylor College of Dentistry,College,,Dallas,+1 (214) 828 8100,+1 (214) 828 8496,admissions@tambcd.edu,N/A
Belmont University,Belmont University,University,1900 Belmont Boulevard,Nashville,+1 (615) 460 6000,+1 (615) 460 6497,VP@belmont.edu,N/A
Bethel University,(The Cumberland Presbyterian University),University,325 Cherry Avenue,"McKenzie,Ashland City, Dyersburg, Germantown, Lexington, Murfreesboro, Union City, Waynesboro","+1 731-352-4000, +1 (731) 352-6327","+1 (731) 352-4069, +1 (731) 352-7644",marulandac@bethelu.edu,N/A
Bryan College,Bryan College,College,721 Bryan Drive,"Dayton, Tennessee",+1 (423) 775 2041,+1 (423) 775 7330,info@bryan.edu,N/A
Abilene Christian University,Abilene Christian University,University,1600 Campus Court,"Abilene, Texas",+1 (325) 674 2000,+1 (915) 674 2202,webinfo@acu.edu,Profile
Alamo Community Colleges,Alamo Community Colleges,College,201 W. Sheridan,San Antonio,+1 (210) 485-0000,+1 210-485-0234,mirizarry@mail.accd.edu,N/A
Alvin Community College,Alvin Community College,College,3110 Mustang Rd.,Alvin,+1 281-756-3500,,info@alvincollege.edu,Profile
Amarillo College,Amarillo College,College,PO Box 447,Amarillo,+1 806-371-5040,+1 806-371-5041,,N/A
Ambassador University,(fully accredited institution until 1997),University,"P.O. Box 2241,",Pasadena,+1 (626) 650-2388,+1 (626) 650-2388,Registrar@ambassador.edu,N/A
Amberton University,,University,1700 Eastgate Drive,Garland,+1 972-279-6511,+1 972-279-9773,DHebbard@amberton.edu,N/A
American Academy of Nurse Practitioners,American Academy of Nurse Practitioners,College,,,,,,N/A
American College of Acupuncture and Oriental Medicine,American College of Acupuncture and Oriental Medicine,College,,,,,,N/A
American Commercial College,American Commercial College,College,402 Butternut St.,Abilene,+1 325-672-8495,+1 325-672-8497,,Profile
American InterContinental University Houston,AIU Huston,University,"6600 Peachtree-Dunwoody Road, 500 Embassy Row",Houston,,,mkennedy@aiuniv.edu,N/A
AmeriTech College,AmeriTech College,College,2035 North 550 West,Provo,+1 (801) 377-2900,+1 (801) 375-3077,,Profile
Brigham Young University,Brigham Young University,University,Main Campus,Provo,+1 (801) 422 1211,+1 (801) 378 5278,roy_bean@byu.edu,N/A
Brigham Young University Business School,Brigham Young University Marriot School,College,730 TNRB Brigham Young University,"Provo, UT",+1 (801) 422-3015,,kristen_mcgregor@byu.edu,N/A
Broadview Entertainment Arts University,,University,240 East Morris Avenue,"Salt Lake City, Utah","+1 801-300-4300, +18012882787",+1 801-300-4301,,N/A
Broadview University,Broadview University,University,869 West Hill Field Road,"Layton, Salt Lake City, West Jordan",,,,N/A
BYU Chinese Flagship,BYU Chinese Flagship,College,,,,,,N/A
Charter College,Charter College,College,"750 Sandhill Road, Suite 100",Pasco,775 737-7432,775-853-7908,jobspa@chartercollege.org,N/A
College of Eastern Utah,College of Eastern Utah,College,451 East 400 North,Price,435-613-55318,435-613-5422,lydia.peterson@ceu.edu,N/A
"College of Law, The University of Utah","College of Law, The University of Utah",College,332 South 1400 East,Salt Lake City,+1 801-581-6833,+1 801-581-6897,admissions@law.utah.edu,N/A
Dixie State College of Utah,Dixie State College of Utah,College,225 South 700 East,St. George,+1 (435) 652-7521,+1 (435) 656-4001,,N/A
Bennington College,Bennington College,College,One College Drive,Bennington,+1 (802) 442 5401,+1 (802) 447 4269,hroffice@bennington.edu,hroffice@bennington.edu
Burlington College,Burlington College,College,95 North Avenue,Burlington,+1 800 862 9616,+1 (802) 660 4331,communications@burlington.edu,N/A
C.V. Starr-Middlebury School in the Middle East,C.V. Starr-Middlebury School in the Middle East,College,"Sunderland Language Center, First Floor","Middlebury, Vermont",+1 8024435745,+1 8024433157,internationalprograms@middlebury.edu,N/A
Castleton State College,Castleton State College,College,62 Alumni Drive,Castleton,+1 (802) 468 5611,+1 (802) 468 5237,m,N/A
Castleton State University,Castleton State University,University,86 Seminary Drive,"Castleton, VT",+1 (802) 468-5611,+1 (802) 468-6470,info@castleton.edu,N/A
Champlain College,Champlain College,College,163 S Willard Street,Burlington,+1 (802) 860-2700,+1 (802) 860-2750,admission@champlain.edu,HR@champlain.edu
Champlain College Online,Champlain College Online,College,,Burlington,"+1 (802) 860-2700,+1 (800) 570-5858",,gradschool@champlain.edu,N/A
Community College of Vermont,Community College of Vermont,College,PO Box 489,Montpelier,,,Yasmine.ziesler@ccv.edu,N/A
Goddard College,Goddard College,College,123 Pitkin Road,"Plainfield, Port Townsend, Washington",+1 (802) 454 8311,+1 (802) 454 8017,mfaia.search@goddard.edu,N/A
Green Mountain College,Green Mountain College,College,One College Cir,Poultney,+1 (802) 287 8000,+1 (802) 287 8099,webmaster@greenmtn.edu,N/A
American College of Radiology,American College of Radiology,College,1891 Preston White Drive,Reston,+11 (800) 227-5463,,info@acr.org,N/A
American Open University,American Open University,University,4212 King Street,Alexandria,+1 (703) 671-2115,+1 (703) 671-2377,dsa@aou.edu,N/A
Americas Computers Training Source,Americas Computers Training Source,College,3949 Fairview Drive,Fairfax,+1 703-356-2236,,info@actsva.com,N/A
Appalachian College of Pharmacy,"Appalachian College of Pharmacy, Oakwood, VA",College,1060 Dragon Road,Oakwood,+1 (866) 935-7350,+1 276-498-4193,acpinfo@acp.edu,N/A
Argosy University - Washington DC,Argosy University - Washington DC,University,1550 Wilson Boulevard Suite 600,Arlington,"+1 (866) 703-2777,+1 (703) 526-5800",+1 .703.243.8973,dcresume@argosy.edu,N/A
Atlantic University,Atlantic University,University,215 67th Street,Virginia Beach,"+1 (757) 631-8101,+1 (800) 428-1512",+1 (757) 631-8096,info@atlanticuniv.edu,N/A
Averett College,Averett University,College,420 West Main St.,Danville,+1 (434) 791-5600,"+1 (434) 791-0658,+1 (212) 739-6120",joel.nester@averett.edu,N/A
Bernelli University,"(former Berne University USA, Pennsylvania, St. Kitts/Nevis, listed on list of unaccredited institutions of higher education)",University,1800 Diagonal Rd Alexandria,,,,info@bernelli.edu,N/A
Blue Ridge Community College,Blue Ridge Community College,College,"Box 80, One College Lane",Weyers Cave,"+1 (540) 234-9261,+1 (888) 750-2722",+1 (540) 453-2437,,N/A
Bluefield College,Bluefield College,College,3000 College Avenue,Bluefield,+1 (800) 872-0176,+1 (276) 326-4395,bluefield@bluefield.edu,N/A
Alexandar School of Natural Therapeutics,"Alexandar Massage School of Natural Therapeutics, Tacoma, WA",College,4026 Pacific Ave,Tacoma,+1 (877) 472-1142,+1 2534733807,alexandarmassage@mac.com,N/A
American College of Cardiology,"American College of Cardiology, Washington DC",College,Heart House 2400 N Street NW,Washington D.C.,"+1 (202) 375-6000, 5603",+1 (202) 375-7000,resource@acc.org,N/A
American Health Science University,American Health Science University,University,585 Birch St.,Oak Harbor,,+1 360 279 0174,,N/A
American University,American University,University,"4400 Massachusetts Avenue, NW","Washington, D.C.",+1 (202) 885-1000,+1 202-885-1737,admissions@american.edu,N/A
American University - College of Law,American University Washington College of Law,University,"4400 Massachusetts Avenue, NW",Washington,+1 (202) 274-4000,,TenleyCampus@wcl.american.edu,N/A
American University - Kogod School of Business,American University - Kogod School of Business,College,4400 Massachusetts Avenue,"Washington, D.C.",+1 (202) 885-1913,,kogodgrad@american.edu,N/A
American University - School of International Service,American University - School of International Service (SIS),College,"4400 Massachusetts Avenue, NW",Washington,+1 (202) 885-1646,,sisgrad@american.edu,N/A
Antioch University Seattle,Antioch University Seattle,University,2326 Sixth Ave.,Seattle,+1 (206) 441-5352,+1 (206) 268-4242,admissions@antiochseattle.edu,N/A
Argosy University - Seattle,Argosy University - Seattle,University,2601-A Elliott Avenue,Seattle,+1 (206) 283-4500,,materialsreview@argosy.edu.,N/A
Bastyr University,Bastyr University,University,14500 Juanita Drive Ne,Kenmore,+1 (425) 602-3000,+1 (425) 823-6222,jobs@bastyr.edu,N/A
Alderson Broaddus College,Alderson Broaddus College,College,101 College Hill Drive,Philippi,+1 (800) 263-1549,+1 (304) 457-6239,Elizabeth.Jones@mail.wvu.edu,admissions@ab.edu
American Military University,,University,111 W. Congress Street,Charles Town,+1 (877) 755-2787,,info@apus.edu,graduation@apus.edu
American Public University System,American Public University System,University,111 W. Congress Street,"Charles Town, West Virginia",+1 (877) 755-2787,,info@apus.edu,N/A
Appalachian Bible College,Appalachian Bible College,College,161 College Dr.,Mount Hope,"+1 (304) 877-6428,+1 (800) 678-9222",+1 (304) 877 5081,admissions@abc.edu,admissions@abc.edu
Bethany College Study Abroad Programs Travel Awards and Scholarships,Bethany College,College,"Bethany College, 31 E Campus Dr",Bethany,+1 (304) 829-7000,+1 (785) 227 2004,mattisonj@bethanylb.edu,N/A
Blue Ridge Community and Technical College,Blue Ridge Community and Technical College,College,13650 Apple Harvest Drive,"Martinsburg, Berkeley Springs",+1 (304) 260-4380,"+1 (304) 260-4376,+1 (304) 260-4367",,admissions@blueridgectc.edu
Bluefield State College,Bluefield State College,College,219 Rock Street,"Bluefield, Beaver","+1 (304) 327-4000,+1 (800) 344-8892,+1 (800) 654-7798",+1 (304) 325 7747,kmandeville@bluefieldstate.edu,N/A
BridgeValley Community and Technical College,BridgeValley Community and Technical College,College,619 2nd Avenue,Montgomery,"+1 (304) 734-6600,+1 (304) 734-6603",,cstevenson@bridgemont.edu,jsurbaugh@bridgemont.edu
BridgeValley Community and Technical College,BridgeValley Community and Technical College,College,619 2nd Avenue,Montgomery,"+1 (304) 734-6600,+1 (304) 734-6603",,cstevenson@bridgemont.edu,jsurbaugh@bridgemont.edu
Concord University,Concord University,University,"Vermillion Street, P.O. Box 1000",Athens,"+1 (800) 344-6679,+1 (888) 384-5249","+11 (304) 384-3218,+1 (304) 384-5398",admissions@concord.edu,admissions@concord.edu
Alverno College,Alverno College,College,"3400 S. 43rd St., P.O. BOX 343922",Milwaukee,+1 (414) 382-6000,+1 (414) 3826354,admissions@alverno.edu,admissions@alverno.edu
Amerstate University,Amerstate University,University,401 Wisconsin Avenue,Racine,+1 262-635-0615,+1 262-635-0989,info@auusa.org,admin@auwi.org
Bellin College - School of Nursing,Bellin College - School of Nursing,College,3201 Eaton Road,Green Bay,"+1 (800) 236-8707,+1 (920) 433-6699",+1 (920) 433-1922,woelfel@bcon.edu,amy.novak@bellincollege.edu
Beloit College,Beloit College,College,700 College Street,Beloit,+1 (608) 363-2000,"+1 (608) 363 2075, +1 608",admiss@beloit.edu,N/A
Blackhawk Technical College,Blackhawk Technical College,College,PO Box 5009,Janesville,"+1 (608) 743-4463, (608) 743-4421",+1 608-743-7740,dboston@blackhawk.edu,dboston@blackhawk.edu
"Bryant & Stratton College, Bayshore Campus",Bryant and Stratton College,College,"Bayshore Town Center, 500 W. Silver Spring Rd. Suite K340",Glendale,+1 (414) 961-9600,,bayshore.admissions@bryantstratton.edu,N/A
"Bryant & Stratton College, Milwaukee Campus",Bryant and Stratton College,College,310 West Wisconsin Avenue Suite 500E,Milwaukee,+1 (414) 276-5200,,milwaukeeinfo@bryantstratton.edu,N/A
"Bryant & Stratton College, Wauwatosa Campus",Bryant and Stratton College,College,10950 W. Potter Road,Wauwatosa,+1 (414) 302-7000,,Wauwatosa.admissions@bryantstratton.edu,N/A
Cardinal Stritch University,Cardinal Stritch University,University,6801 N Yates Road,Milwaukee,+1 (414) 410 4000,+1 (414) 410 4239,admityou@stritch.edu,N/A
Carroll University,Carroll University,University,100 N. East Ave,Waukesha,+1 262.524.7350,262-650-4814,info@carrollu.edu,N/A
Casper College,Casper College,College,125 College Drive,Casper,"+1 (307) 268-2100,+1 (307) 268-3648",307-268-2677,cspcref@caspercollege.edu,admissions@caspercollege.edu
Central Wyoming College,Central Wyoming College,College,2660 Peck Ave,Riverton,+1 (307) 855-2000,,admit@cwc.edu,N/A
"CollegeAmerica, Cheyenne, Wyoming Campus",CollegeAmerica,College,"6101 Yellowstone Road, Suite 101","Cheyenne, Wyoming","+1 (800) 622-2894,+1 (307) 632-7048",,debbi.potts@collegeamerica.edu,N/A
Eastern Wyoming College,Eastern Wyoming College,College,3200 West C Street,Torrington,"+1 (866) 327-8996,+1 (307) 532-8200",532-8222,dludwig@ewc.wy.edu,zach.smith@ewc.wy.edu
Laramie County Community College,Laramie County Community College,College,1400 E College Dr,Cheyenne,+1 (307) 778-1289,+1 (307) 778-4300,hr@lccc.wy.edu,N/A
Northern Wyoming Community College District - Gillette College,Northern Wyoming Community College District,College,300 West Sinclair,Gillette,+1 (307) 686-0254,,,N/A
Northern Wyoming Community College District - Sheridan College,Sheridan College,College,3059 Coffeen Avenue,Sheridan,+1 (307) 674-6446,307-674-4293,admissions@sheridan.edu,admissions@sheridan.edu
Northwest College (Wyo.),Northwest College (Wyo.),College,231 West 6th Street,Powell,+1 3077546403,,,Admissions@nwc.edu
Preston University,Preston University,University,KDA Scheme II,Kohat,,,,N/A
University of Wyoming,University of Wyoming,University,1000 E. University Ave,Laramie,+1 (307) 766 1121,+1 (307) 766 2271,burek@uwyo.edu,N/A
